loop_id	aggregated_id	A1_type	A1_nearest_gene_symbol	A2_type	A2_nearest_gene_symbol	distance	n_candidate	n_observed	other_loop_id	other_distance	A1_other_chrom	A1_other_start	A1_other_end	A2_other_chrom	A2_other_start	A2_other_end	A1_other_anchor	A1_chain_id	A1_chain_range	A1_other_chain_range	A1_other_chain_strand	A2_other_anchor	A2_chain_id	A2_chain_range	A2_other_chain_range	A2_other_chain_strand	A1_exon_fraction	A1_other_exon_fraction	A2_exon_fraction	A2_other_exon_fraction	critical_exon_fraction	other_orientation
Dvir_L25	Dvir_L25	P	Dvir\GJ13979	P	Dvir\GJ11588, Dvir\GJ13735	4728190	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L26	Dvir_L26_L27	P	Dvir\GJ13832, Dvir\GJ13831	P	Dvir\GJ13039	13411859	3	1	L37	9610622	3L	7643683	7643786	3L	17254304	17254408	1	79092	3L:6219936-6252578	3L:7640888-7668596	+	2	101671	3L:19626093-19647958	3L:17246664-17267285	+	0.016980549552331	0.0178846746839346	0	0.0686918445539135	0.0686918445539135	original
Dvir_L27	Dvir_L26_L27	P	Dvir\GJ13832, Dvir\GJ13831	I	Dvir\GJ12326	13429881	3	1	L38	9625889	3L	7643683	7643786	3L	17269577	17269669	1	79092	3L:6219936-6252578	3L:7640888-7668596	+	2	101722	3L:19648713-19867903	3L:17267164-17462725	+	0.016980549552331	0.0178846746839346	0.133848743031451	0.150951340824759	0.150951340824759	original
Dvir_L28	Dvir_L28_L29	P	Dvir\GJ13652	I	Dvir\GJ12101	6669720	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L29	Dvir_L28_L29	P	Dvir\GJ13652	P	Dvir\GJ13257	6765826	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L30	Dvir_L30_L31_L32	I	Dvir\GJ13447	P	Dvir\GJ11935	252209	1	1	L32	231072	3L	1997924	1998004	3L	2228637	2229443	1	90908	3L:13496854-13615616	3L:1947845-2057023	+	2	91165	3L:13645445-13821238	3L:2069859-2247758	+	0.11626792347326	0.119394641217107	0.151503751955175	0.170089833392695	0.170089833392695	original
Dvir_L31	Dvir_L30_L31_L32	I	Dvir\GJ13447	P	Dvir\GJ13398	866234	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L32	Dvir_L30_L31_L32	P	Dvir\GJ11935	P	Dvir\GJ13398	614025	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L33	Dvir_L33_L34_L35	I	Dvir\GJ11981	I	Dvir\GJ12668	10075005	4	1	L36	2677166	3L	6652992	6653122	3L	9330170	9330277	2,1	92783,92826	3L:14634949-14661641,3L:14662839-14845749	3L:9330566-9357816,3L:6487299-6652543	-	1,2	108578,108662	3L:24684798-24736323,3L:24738100-24988822	3L:6654085-6692315,3L:9138762-9329725	-	0.34659217877095	0.354679802955665	0.271272503462071	0.28133704735376	0.257753273604411	NA
Dvir_L34	Dvir_L33_L34_L35	P	Dvir\GJ13380	I	Dvir\GJ12753	10121437	1	1	L35	2627951	3L	6623844	6623950	3L	9251803	9251894	1	92826	3L:14662839-14845749	3L:6487299-6652543	-	2	108662	3L:24738100-24988822	3L:9138762-9329725	-	0.248556545751224	0.257753273604411	0.134717687199618	0.162997537579477	0.257753273604411	double_inv
Dvir_L35	Dvir_L33_L34_L35	P	Dvir\GJ13380	P	Dvir\GJ12752, Dvir\GJ12749	10198861	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L36	Dvir_L36_L37	I	Dvir\GJ12216	P	Dvir\GJ15467	8549390	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L37	Dvir_L36_L37	I	Dvir\GJ12216	P	Dvir\GJ15524, Dvir\GJ15467	8669585	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L38	Dvir_L38	P	Dvir\GJ13132	I	Dvir\GJ15474	7956721	3	1	L33	2213076	3L	4800832	4800919	3L	7013903	7013999	2	99148	3L:18155883-18236253	3L:7006171-7093510	-	1	110131	3L:26039525-26320032	3L:4689099-4897909	+	0.12963503649635	0.150516513894951	0.27370369089211	0.291392790424133	0.291392790424133	single_inv
Dvir_L39	Dvir_L39_L40_L41_L42_L43	I	Dvir\GJ14221	I	Dvir\GJ24185	10524955	1	1	L55	609037	3R	28735645	28735738	3R	29343984	29346065	2	115012	3R:2356465-2636926	3R:29245104-29448851	+	1	132166	3R:12950698-13045540	3R:28683615-28754890	+	0.0321543408360129	0.043671089810079	0.493052278328352	0.497666369500236	0.497666369500236	double_inv
Dvir_L40	Dvir_L39_L40_L41_L42_L43	I	Dvir\GJ14221	I	Dvir\GJ24179	10590422	1	1	L57	542732	3R	28801940	28802052	3R	29343984	29346065	2	115012	3R:2356465-2636926	3R:29245104-29448851	+	1	132362	3R:13051299-13126149	3R:28772239-28843993	+	0.0321543408360129	0.043671089810079	0.131219105090839	0.161043634727845	0.161043634727845	double_inv
Dvir_L41	Dvir_L39_L40_L41_L42_L43	I	Dvir\GJ14519	I	Dvir\GJ24185	10466446	1	1	L56	641278	3R	28735645	28735738	3R	29376598	29377448	2	115012	3R:2356465-2636926	3R:29245104-29448851	+	1	132166	3R:12950698-13045540	3R:28683615-28754890	+	0.0321543408360129	0.043671089810079	0.493052278328352	0.497666369500236	0.497666369500236	double_inv
Dvir_L42	Dvir_L39_L40_L41_L42_L43	I	Dvir\GJ14519	I	Dvir\GJ24179	10531913	1	1	L58	574973	3R	28801940	28802052	3R	29376598	29377448	2	115012	3R:2356465-2636926	3R:29245104-29448851	+	1	132362	3R:13051299-13126149	3R:28772239-28843993	+	0.0321543408360129	0.043671089810079	0.131219105090839	0.161043634727845	0.161043634727845	double_inv
Dvir_L43	Dvir_L39_L40_L41_L42_L43	I	Dvir\GJ14221	I	Dvir\GJ14519	58509	1	1	L60	32241	3R	29343984	29346065	3R	29376598	29377448	1	115012	3R:2356465-2636926	3R:29245104-29448851	+	2	115012	3R:2356465-2636926	3R:29245104-29448851	+	0.0321543408360129	0.043671089810079	0.0321543408360129	0.043671089810079	0.043671089810079	original
Dvir_L44	Dvir_L44_L45	P	Dvir\GJ24379	P	Dvir\GJ10951, Dvir\GJ26739	20082697	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L45	Dvir_L44_L45	P	Dvir\GJ24379	P	Dvir\GJ10223	20121796	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L46	Dvir_L46_L47	I	Dvir\GJ26153	P	Dvir\GJ23120, Dvir\GJ24107	3341131	1	1	L54	5097377	3R	23557344	23557443	3R	28654730	28654810	2	129095	3R:10971917-11015749	3R:28628364-28667814	+	1	134436	3R:14322655-14529834	3R:23359147-23585306	-	0.12788423934298	0.127286882055274	0.162093085821899	0.200751980663354	0.200751980663354	single_inv
Dvir_L47	Dvir_L46_L47	P	Dvir\GJ22938	P	Dvir\GJ23121	3342880	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L48	Dvir_L48_L49	I	Dvir\GJ23116	P	Dvir\GJ10426	12071535	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L49	Dvir_L48_L49	P	Dvir\GJ24109	P	Dvir\GJ10734, Dvir\GJ10427	11992716	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L50	Dvir_L50_L51_L52	P	Dvir\GJ10142	I	Dvir\GJ10081	1309768	1	1	L49	6870498	3R	5150633	5150758	3R	12021090	12021281	1	158916	3R:31260411-31470936	3R:4973841-5203507	-	2	160531	3R:32624600-32629543	3R:12021938-12028310	+	0.304886239610444	0.316419924923025	0	0	0.316419924923025	single_inv
Dvir_L51	Dvir_L50_L51_L52	P	Dvir\GJ10142	I	Dvir\GJ11081	1373224	1	1	L50	6944037	3R	5150633	5150758	3R	12094666	12094798	1	158916	3R:31260411-31470936	3R:4973841-5203507	-	2	160558	3R:32681175-32732300	3R:12093339-12133493	+	0.304886239610444	0.316419924923025	0.280797101449275	0.295525494276795	0.316419924923025	single_inv
Dvir_L52	Dvir_L50_L51_L52	I	Dvir\GJ10081	I	Dvir\GJ11081	63456	1	1	L51	73539	3R	12021090	12021281	3R	12094666	12094798	1	160531	3R:32624600-32629543	3R:12021938-12028310	+	2	160558	3R:32681175-32732300	3R:12093339-12133493	+	0	0	0.280797101449275	0.295525494276795	0.295525494276795	original
Dvir_L53	Dvir_L53_L54	I	Dvir\GJ15588	I	Dvir\GJ26418	18672317	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L54	Dvir_L53_L54	I	Dvir\GJ15588	P	Dvir\GJ18639	18561156	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L55	Dvir_L55_L56	I	Dvir\GJ15757	I	Dvir\GJ18489	14192974	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L56	Dvir_L55_L56	I	Dvir\GJ15757	I	Dvir\GJ18480	14338064	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L57	Dvir_L57	I	Dvir\GJ15757	P	Dvir\GJ15356	11730720	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L58	Dvir_L58	P	Dvir\GJ16440	I	Dvir\GJ14795	1394863	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L59	Dvir_L59_L60_L61_L62	P	Dvir\GJ15356	P	Dvir\GJ18562, Dvir\GJ18492	2441267	3	1	L61	15117441	X	945883	945994	X	16063069	16063683	1	176306	X:16227575-16358930	X:915126-1016613	+	2	178539	X:18652402-18704151	X:16063715-16100999	-	0.178415952815616	0.202316602316602	0.59809183064997	0.723289315726291	0.723289315726291	single_inv
Dvir_L60	Dvir_L59_L60_L61_L62	I	Dvir\GJ15351	P	Dvir\GJ18562, Dvir\GJ18492	2389949	3	1	L62	15077009	X	986055	986686	X	16063069	16063683	1	176306	X:16227575-16358930	X:915126-1016613	+	2	178539	X:18652402-18704151	X:16063715-16100999	-	0.178415952815616	0.202316602316602	0.59809183064997	0.723289315726291	0.723289315726291	single_inv
Dvir_L61	Dvir_L59_L60_L61_L62	I	Dvir\GJ15213	P	Dvir\GJ18562, Dvir\GJ18492	2362488	3	1	L63	15053407	X	1009817	1010125	X	16063069	16063683	1	176306	X:16227575-16358930	X:915126-1016613	+	2	178539	X:18652402-18704151	X:16063715-16100999	-	0.178415952815616	0.202316602316602	0.59809183064997	0.723289315726291	0.723289315726291	single_inv
Dvir_L62	Dvir_L59_L60_L61_L62	P	Dvir\GJ15356	I	Dvir\GJ15213	78779	1	1	L65	64034	X	945883	945994	X	1009817	1010125	1	176306	X:16227575-16358930	X:915126-1016613	+	2	176306	X:16227575-16358930	X:915126-1016613	+	0.178415952815616	0.202316602316602	0.178415952815616	0.202316602316602	0.202316602316602	original
Dvir_L63	Dvir_L63_L64	I	Dvir\GJ18644	I	Dvir\GJ18873	5016479	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L64	Dvir_L63_L64	I	Dvir\GJ18644	I	Dvir\GJ18873	4997781	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
