chrom	start	end	loop_id	aggregated_id	anchor	midpoint	anchor_TSS_proximal	anchor_distance_to_TSS	anchor_nearest_gene_id	anchor_nearest_gene_symbol	loop_anchor_distance	peak_id
3L	26542500	26550000	D_vir_L31	D_vir_L30_L31	A2	26546250	1	0	FBgn0202660, FBgn0202717	Dvir\GJ15467, Dvir\GJ15524	8676250	D_vir_P43
3L	18227500	18240000	D_vir_L32	D_vir_L32_L33	A1	18233750	1	0	FBgn0200359	Dvir\GJ13132	7967500	D_vir_P44
3L	26195000	26207500	D_vir_L32	D_vir_L32_L33	A2	26201250	1	0	FBgn0202665, FBgn0202666, FBgn0202667	Dvir\GJ15472, Dvir\GJ15473, Dvir\GJ15474	7967500	D_vir_P45
3L	18245000	18260000	D_vir_L33	D_vir_L32_L33	A1	18252500	1	0	FBgn0199494, FBgn0199495, FBgn0200357, FBgn0200359	Dvir\GJ12244, Dvir\GJ12245, Dvir\GJ13130, Dvir\GJ13132	7948750	D_vir_P46
3L	26195000	26207500	D_vir_L33	D_vir_L32_L33	A2	26201250	1	0	FBgn0202665, FBgn0202666, FBgn0202667	Dvir\GJ15472, Dvir\GJ15473, Dvir\GJ15474	7948750	D_vir_P45
3R	2480000	2497500	D_vir_L34	D_vir_L34_L35_36_37	A1	2488750	1	0	FBgn0201436	Dvir\GJ14221	10526250	D_vir_P47
3R	13007500	13022500	D_vir_L34	D_vir_L34_L35_36_37	A2	13015000	1	0	FBgn0210147, FBgn0211268	Dvir\GJ23045, Dvir\GJ24185	10526250	D_vir_P48
3R	2480000	2497500	D_vir_L35	D_vir_L34_L35_36_37	A1	2488750	1	0	FBgn0201436	Dvir\GJ14221	10592500	D_vir_P47
3R	13072500	13090000	D_vir_L35	D_vir_L34_L35_36_37	A2	13081250	1	0	FBgn0211263	Dvir\GJ24179	10592500	D_vir_P49
3R	2540000	2557500	D_vir_L36	D_vir_L34_L35_36_37	A1	2548750	0	516	FBgn0201730	Dvir\GJ14519	10466250	D_vir_P50
3R	13007500	13022500	D_vir_L36	D_vir_L34_L35_36_37	A2	13015000	1	0	FBgn0210147, FBgn0211268	Dvir\GJ23045, Dvir\GJ24185	10466250	D_vir_P48
3R	2540000	2557500	D_vir_L37	D_vir_L34_L35_36_37	A1	2548750	0	516	FBgn0201730	Dvir\GJ14519	10532500	D_vir_P50
3R	13072500	13090000	D_vir_L37	D_vir_L34_L35_36_37	A2	13081250	1	0	FBgn0211263	Dvir\GJ24179	10532500	D_vir_P49
3R	9782500	9797500	D_vir_L38	D_vir_L38_L39	A1	9790000	1	0	FBgn0211459	Dvir\GJ24379	20080000	D_vir_P51
3R	29862500	29877500	D_vir_L38	D_vir_L38_L39	A2	29870000	1	0	FBgn0198219, FBgn0283008	Dvir\GJ10951, Dvir\GJ26739	20080000	D_vir_P52
3R	9782500	9797500	D_vir_L39	D_vir_L38_L39	A1	9790000	1	0	FBgn0211459	Dvir\GJ24379	20117500	D_vir_P51
3R	29900000	29915000	D_vir_L39	D_vir_L38_L39	A2	29907500	1	0	FBgn0197509, FBgn0197510	Dvir\GJ10222, Dvir\GJ10223	20117500	D_vir_P53
3R	10999000	11004000	D_vir_L40	D_vir_L40_L41	A1	11001500	0	1203	FBgn0282422	Dvir\GJ26153	3342000	D_vir_P54
3R	14341000	14346000	D_vir_L40	D_vir_L40_L41	A2	14343500	1	0	FBgn0210222, FBgn0211191	Dvir\GJ23120, Dvir\GJ24107	3342000	D_vir_P55
3R	11013000	11018000	D_vir_L41	D_vir_L40_L41	A1	11015500	1	0	FBgn0210041	Dvir\GJ22938	3342500	D_vir_P56
3R	14355000	14361000	D_vir_L41	D_vir_L40_L41	A2	14358000	0	555	FBgn0210223	Dvir\GJ23121	3342500	D_vir_P57
3R	14190000	14200000	D_vir_L42	D_vir_L42_L43	A1	14195000	0	2165	FBgn0210218	Dvir\GJ23116	12070000	D_vir_P58
3R	26260000	26270000	D_vir_L42	D_vir_L42_L43	A2	26265000	1	0	FBgn0197706	Dvir\GJ10426	12070000	D_vir_P59
3R	14235000	14247500	D_vir_L43	D_vir_L42_L43	A1	14241250	1	0	FBgn0211193	Dvir\GJ24109	12005000	D_vir_P60
3R	26240000	26252500	D_vir_L43	D_vir_L42_L43	A2	26246250	1	0	FBgn0197706, FBgn0198011	Dvir\GJ10426, Dvir\GJ10734	12005000	D_vir_P61
3R	31305000	31320000	D_vir_L44	D_vir_L44_L45	A1	31312500	1	0	FBgn0197430, FBgn0198289	Dvir\GJ10142, Dvir\GJ11022	1307500	D_vir_P62
3R	32612500	32627500	D_vir_L44	D_vir_L44_L45	A2	32620000	0	2792	FBgn0197370	Dvir\GJ10081	1307500	D_vir_P63
3R	31305000	31320000	D_vir_L45	D_vir_L44_L45	A1	31312500	1	0	FBgn0197430, FBgn0198289	Dvir\GJ10142, Dvir\GJ11022	1370000	D_vir_P62
3R	32677500	32687500	D_vir_L45	D_vir_L44_L45	A2	32682500	1	0	FBgn0198342	Dvir\GJ11081	1370000	D_vir_P64
X	1377500	1395000	D_vir_L46	D_vir_L46_L47	A1	1386250	0	5659	FBgn0202781	Dvir\GJ15588	18666250	D_vir_P65
X	20045000	20060000	D_vir_L46	D_vir_L46_L47	A2	20052500	1	0	FBgn0205793	Dvir\GJ18639	18666250	D_vir_P66
X	1402500	1417500	D_vir_L47	D_vir_L46_L47	A1	1410000	1	0	FBgn0202781	Dvir\GJ15588	18558750	D_vir_P67
X	19962500	19975000	D_vir_L47	D_vir_L46_L47	A2	19968750	1	0	FBgn0205793	Dvir\GJ18639	18558750	D_vir_P68
X	16260000	16280000	D_vir_L48	D_vir_L48_L49	A1	16270000	1	0	FBgn0202547, FBgn0202548, FBgn0202550	Dvir\GJ15353, Dvir\GJ15354, Dvir\GJ15356	2437500	D_vir_P69
X	18702500	18712500	D_vir_L48	D_vir_L48_L49	A2	18707500	1	0	FBgn0205650, FBgn0205651, FBgn0205720	Dvir\GJ18491, Dvir\GJ18492, Dvir\GJ18562	2437500	D_vir_P70
X	16337500	16350000	D_vir_L49	D_vir_L48_L49	A1	16343750	0	242	FBgn0202409	Dvir\GJ15213	2363750	D_vir_P71
X	18702500	18712500	D_vir_L49	D_vir_L48_L49	A2	18707500	1	0	FBgn0205650, FBgn0205651, FBgn0205720	Dvir\GJ18491, Dvir\GJ18492, Dvir\GJ18562	2363750	D_vir_P70
X	20175000	20185000	D_vir_L50	D_vir_L50	A1	20180000	1	0	FBgn0205798	Dvir\GJ18644	5021250	D_vir_P72
X	25197500	25205000	D_vir_L50	D_vir_L50	A2	25201250	0	8561	FBgn0206019	Dvir\GJ18873	5021250	D_vir_P73
